Ni,Ti,Hf,Co,Cu,Zr,Fe,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,size_diff,rad_Waber,atom_number,atom_mass,T,a,b,c,beta,ref,ac,α,β,γ,λ1,λ2,λ3,ΔV/V,εRMS,Ms
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0282,4.0835,4.8347,102.79,O. Benafan2021 ,3.0786,0.983628922,0.937916761,1.110455777,0.937916761,0.907991678,1.036547949,-0.000954641,0.117,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0539,4.0972,4.8658,103.25,O. Benafan2021 ,3.0934,0.987230879,0.936561034,1.112251948,0.936561034,0.906657451,1.038358757,0.001013832,0.119,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0557,4.0759,4.8848,103.25,O. Benafan2021 ,3.0973,0.986568947,0.93051901,1.115189102,0.93051901,0.906848023,1.031660006,-0.003486249,0.12,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0485,4.1407,4.8703,103.21,O. Benafan2021 ,3.0931,0.985580809,0.946596311,1.11338856,0.946596311,0.906155847,1.049194638,0.011246822,0.119,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0554,4.1037,4.8685,103.24,O. Benafan2021 ,3.0935,0.987683853,0.938016518,1.112833155,0.938016518,0.907180225,1.039900571,0.003594853,0.119,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0444,4.0959,4.8445,103.2,O. Benafan2021 ,3.0917,0.984700974,0.936778687,1.107991979,0.936778687,0.904479155,1.038241107,-0.004940296,0.121,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0427,4.0982,4.845,103.2,O. Benafan2021 ,3.0911,0.984342144,0.937486659,1.108321424,0.937486659,0.904310873,1.03902576,-0.004255175,0.121,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0549,4.0917,4.8721,103.3,O. Benafan2021 ,3.0957,0.986820428,0.934608914,1.112864602,0.934608914,0.906059672,1.036552385,-0.001143613,0.12,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0591,4.0791,4.8902,103.5,O. Benafan2021 ,3.0964,0.987953753,0.93152024,1.116746409,0.93152024,0.905838925,1.034551832,-0.000656041,0.121,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0565,4.0886,4.8824,103.5,O. Benafan2021 ,3.0956,0.987369169,0.933930994,1.115253311,0.933930994,0.90512214,1.03722923,-1.41E-06,0.121,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.046,4.0901,4.8568,103.2,O. Benafan2021 ,3.0924,0.984995473,0.935240411,1.110553685,0.935240411,0.905238237,1.036536221,-0.003979654,0.12,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0444,4.0876,4.8556,103.2,O. Benafan2021 ,3.0934,0.984159824,0.934366612,1.109920375,0.934366612,0.904537413,1.035567782,-0.006321435,0.121,
50.3,29.7,20,0,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,0.474508,35.018,79.1348,25,3.0457,4.0903,4.8547,103.3,O. Benafan2021 ,3.0926,0.984834767,0.935225657,1.110001711,0.935225657,0.904100197,1.0372364,-0.005061802,0.122,
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,0.407,25,52.8,25,2.89,4.12,4.63,96.8,Vladimir2019,3.015,0.95854063,0.966262003,1.085872105,0.966262003,0.932583231,1.021866711,-0.001338591,0.078,
