Ni,Ti,Hf,Co,Cu,Zr,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,size_diff,T,a,ref,,predict ao,,,lattice parameter,??o,??enp,??ea,??valence,??ionr,??H,??T
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0947,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0973,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0936,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0936,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0927,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0925,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0938,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0962,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0958,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0937,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0941,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0937,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0934,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0937,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0921,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0786,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0782,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0934,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0973,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0931,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0935,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0917,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0911,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0957,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0964,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0956,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0924,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0934,O. Benafan2021 ,,4.127046392,,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,0.053901151,300,3.0926,O. Benafan2021 ,,4.127046392,,,,,,,,,,
