Ni,Ti,Hf,Co,Cu,Zr,Fe,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,size_diff,rad_Waber,atom_number,atom_mass,T,a,b,c,beta,ref,ac,α,β,γ,λ1,λ2,λ3,ΔV/V,εRMS,Ms
45,50,0,0,5,0,0,1.729,0.6211,7.05,0.9455,0.717,1.375,1.623,-32.04,7.11419558,0.018181818,0.40635,25.05,53.045,25,2.903,4.147,4.613,96.22,A. Evirgen2016,3.027,0.959035349,0.968738626,1.077596162,0.968738626,0.935851772,1.019868948,-0.004747884,0.074 ,
42.5,50,0,0,7.5,0,0,1.7285,0.6229,7.075,0.94825,0.718,1.375,1.622,-30.59,7.520027337,0.018181818,0.406025,25.075,53.1675,25,2.907,4.17,4.596,95.487,A. Evirgen2016,3.03,0.959405941,0.973146956,1.072561969,0.973146956,0.94026703,1.018611054,-0.003198506,0.068 ,
40,50,0,0,10,0,0,1.728,0.6247,7.1,0.951,0.719,1.375,1.621,-29.16,7.842998534,0.018181818,0.4057,25.1,53.29,25,2.872,4.192,4.577,95.204,A. Evirgen2016,3.031,0.947542065,0.977958306,1.067775565,0.977958306,0.931130354,1.02134723,-0.014617181,0.075 ,
45,50,0,0,5,0,0,1.729,0.6211,7.05,0.9455,0.717,1.375,1.623,-32.04,7.11419558,0.018181818,0.40635,25.05,53.045,25,2.927,4.074,4.799,103.21,Liangliang2014,,,,,,,,,,
37.5,50,0,0,12.5,0,0,1.7275,0.6265,7.125,0.95375,0.72,1.375,1.62,-27.75,8.100452855,0.018181818,0.405375,25.125,53.4125,25,2.896,4.16,4.698,99.29,Liangliang2014,,,,,,,,,,
37.5,50,0,0,12.5,0,0,1.7275,0.6265,7.125,0.95375,0.72,1.375,1.62,-27.75,8.100452855,0.018181818,0.405375,25.125,53.4125,25,2.896,4.16,4.698,99.57,Liangliang2014,,,,,,,,,,
35,50,0,0,15,0,0,1.727,0.6283,7.15,0.9565,0.721,1.375,1.619,-26.36,8.302188563,0.018181818,0.40505,25.15,53.535,25,2.8745,4.203,4.659,96.94,Liangliang2014,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,0.40702,25.02,53.022,-130.233,2.8963927,4.1661,4.6216562,96.1908,Hui Zhang2022,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,0.40702,25.02,53.022,-127.0158,2.8960185,4.1665,4.6206028,96.1466,Hui Zhang2022,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,0.40702,25.02,53.022,-123.4682,2.8961969,4.1669,4.619905,96.1359,Hui Zhang2022,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,0.40702,25.02,53.022,-120.0856,2.8963756,4.1678,4.6192067,96.1084,Hui Zhang2022,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,0.40702,25.02,53.022,-116.5378,2.896462,4.1679,4.6186862,96.0949,Hui Zhang2022,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,0.40702,25.02,53.022,-113.1554,2.8963642,4.1684,4.6178106,96.0572,Hui Zhang2022,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,0.40702,25.02,53.022,-109.6902,2.8966347,4.1687,4.6172898,96.0391,Hui Zhang2022,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,0.40702,25.02,53.022,-106.3074,2.8969056,4.1697,4.6167688,96.0344,Hui Zhang2022,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,0.40702,25.02,53.022,-101.1099,2.8969892,4.17,4.6155445,95.9962,Hui Zhang2022,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,0.40702,25.02,53.022,-97.6446,2.8968912,4.1712,4.6150237,95.9724,Hui Zhang2022,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,0.40702,25.02,53.022,-94.0968,2.8973461,4.1717,4.6145032,95.9692,Hui Zhang2022,,,,,,,,,,
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,0.40702,25.02,53.022,-90.7146,2.8974326,4.1724,4.61345031,95.9342,Hui Zhang2022,,,,,,,,,,
