Ni,Ti,Hf,Co,Cu,Zr,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,T,a,b,c,beta
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0508,4.0881,4.8774,103.12
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0569,4.0929,4.8806,103.21
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0351,4.1108,4.8483,103.16
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.05,4.0826,4.8768,103.23
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0536,4.0816,4.8841,103.17
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.048,4.0853,4.8693,103.15
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0495,4.0868,4.8772,103.11
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0468,4.0807,4.8612,103.2
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0441,4.0824,4.8583,103.3
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0539,4.0831,4.8788,103.3
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0592,4.076,4.8886,103.5
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0565,4.0836,4.8866,103.4
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0478,4.0825,4.8714,103.2
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0528,4.0782,4.8772,103.2
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0466,4.0821,4.8712,103.3
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0529,4.1029,4.8666,103.27
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0508,4.1148,4.8666,103.19
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0491,4.1172,4.8595,103.15
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0282,4.0835,4.8347,102.79
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0539,4.0972,4.8658,103.25
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0557,4.0759,4.8848,103.25
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0485,4.1407,4.8703,103.21
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0554,4.1037,4.8685,103.24
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0444,4.0959,4.8445,103.2
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0427,4.0982,4.845,103.2
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0549,4.0917,4.8721,103.3
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0591,4.0791,4.8902,103.5
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0565,4.0886,4.8824,103.5
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.046,4.0901,4.8568,103.2
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0444,4.0876,4.8556,103.2
50.3,29.7,20,0,0,0,1.68714,0.604931,7.018,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0457,4.0903,4.8547,103.3
50,50,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,25,2.89,4.12,4.63,96.8
50.6,49.4,0,0,0,0,1.73228,0.623962,7.036,0.9418,0.7147,1.3747,1.62338,-34.99496,5.762227037,25,2.876,4.132,4.622,97
49,50,0,1,0,0,1.7296,0.61255,6.99,0.9395,0.7171,1.375,1.6253,-34.86,6.170374253,25,2.882,4.115,4.644,97.3
46,50,0,4,0,0,1.7284,0.5977,6.96,0.938,0.7234,1.375,1.6262,-34.44,6.921669938,25,2.874,4.108,4.63,97.2
45,50,0,5,0,0,1.728,0.59275,6.95,0.9375,0.7255,1.375,1.6265,-34.3,7.11419558,25,2.871,4.104,4.697,97.1
45,50,0,0,5,0,1.729,0.6211,7.05,0.9455,0.717,1.375,1.623,-32.04,7.11419558,-190,2.903,4.147,4.613,96.2
42.5,50,0,0,7.5,0,1.7285,0.6229,7.075,0.94825,0.718,1.375,1.622,-30.59,7.520027337,-190,2.911,4.228,4.517,90
42.5,50,0,0,7.5,0,1.7285,0.6229,7.075,0.94825,0.718,1.375,1.622,-30.59,7.520027337,-190,2.907,4.17,4.596,95.5
40,50,0,0,10,0,1.728,0.6247,7.1,0.951,0.719,1.375,1.621,-29.16,7.842998534,-190,2.901,4.249,4.515,90
40,50,0,0,10,0,1.728,0.6247,7.1,0.951,0.719,1.375,1.621,-29.16,7.842998534,-190,2.872,4.192,4.577,95.2
37.5,50,0,0,12.5,0,1.7275,0.6265,7.125,0.95375,0.72,1.375,1.62,-27.75,8.100452855,-190,2.896,4.252,4.514,90
35,50,0,0,15,0,1.727,0.6283,7.15,0.9565,0.721,1.375,1.619,-26.36,8.302188563,-190,2.899,4.26,4.516,90
30,50,0,0,20,0,1.726,0.6319,7.2,0.962,0.723,1.375,1.617,-23.64,8.560535159,-190,2.9,4.264,4.512,90
50,47,0,0,0,3,1.7237,0.62791,7,0.9391,0.718,1.3795,1.634,-38.6036,6.70632965,77,2.92,4.114,4.67,97.8
50,45,0,0,0,5,1.7195,0.63485,7,0.9385,0.72,1.3825,1.64,-40.81,7.11419558,77,2.93,4.11,4.72,98.5
50,40,0,0,0,10,1.709,0.6522,7,0.937,0.725,1.39,1.655,-45.64,7.842998534,102,2.98,4.1,4.78,100.3
50,35,0,0,0,15,1.6985,0.66955,7,0.9355,0.73,1.3975,1.67,-49.49,8.302188563,182,3.03,4.09,4.87,101.8
50,32,0,0,0,18,1.6922,0.67996,7,0.9346,0.733,1.402,1.679,-51.3296,8.479085095,237,3.05,4.08,4.92,102.5
50,30,0,0,0,20,1.688,0.6869,7,0.934,0.735,1.405,1.685,-52.36,8.560535159,282,3.07,4.08,4.95,103.7
50,38,12,0,0,0,1.7036,0.60802,7,0.9382,0.7258,1.393,1.6634,-36.68,8.05366492,132,3.006,4.116,4.803,101.2
50,35,15,0,0,0,1.697,0.60565,7,0.93775,0.7285,1.3975,1.673,-37.1,8.302188563,177,3.025,4.096,4.826,102
