Ni,Ti,Hf,Co,Cu,Zr,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,T,a,b,c,beta,ref,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0569,4.0929,4.8806,103.21,O. Benafan2021 ,3.0941,0.987977118,0.935366454,1.115382617,0.935366454,0.908205433,1.036747615,0.003473521,0.118 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0351,4.1108,4.8483,103.16,O. Benafan2021 ,3.0841,0.984112059,0.942503342,1.111593595,0.942503342,0.905228985,1.044296734,0.00395823,0.119 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.05,4.0826,4.8768,103.23,O. Benafan2021 ,3.0947,0.98555595,0.932831662,1.114298107,0.932831662,0.90615273,1.034081073,-0.002750765,0.120 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0536,4.0816,4.8841,103.17,O. Benafan2021 ,3.0973,0.985890937,0.931820307,1.115029293,0.931820307,0.907079744,1.032531357,-0.002594522,0.120 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.048,4.0853,4.8693,103.15,O. Benafan2021 ,3.0936,0.985259891,0.933780493,1.112980039,0.933780493,0.906394696,1.034560173,-0.002890513,0.120 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0495,4.0868,4.8772,103.11,O. Benafan2021 ,3.0936,0.985744763,0.934123349,1.114785749,0.934123349,0.907471472,1.03465338,-0.000251619,0.119 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0468,4.0807,4.8612,103.2,O. Benafan2021 ,3.0927,0.985158599,0.933000499,1.111451963,0.933000499,0.905543307,1.034053704,-0.005396737,0.121 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0441,4.0824,4.8583,103.3,O. Benafan2021 ,3.0925,0.984349232,0.933449547,1.110860752,0.933449547,0.903961182,1.035266558,-0.006672747,0.122 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0539,4.0831,4.8788,103.3,O. Benafan2021 ,3.0938,0.987103239,0.933217305,1.115079373,0.933217305,0.906730767,1.035008985,-0.000359566,0.120 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0592,4.076,4.8886,103.5,O. Benafan2021 ,3.0962,0.988049868,0.930872437,1.116453139,0.930872437,0.905839856,1.033832378,-0.001516137,0.122 
